timestep,return,return_avg,return_tr,nMAE,lr
2000,-828.902577,-828.902577,-634.763077,0.26,0.00043912
4000,-1016.261168,-922.581873,-743.784249,0.42,0.00043824
6000,-1000.959321,-948.707689,-888.439635,0.34,0.00043736
8000,-1050.956524,-974.269898,-1008.283727,0.46,0.00043648
10000,-1719.877944,-1123.391507,-793.583716,1.06,0.0004356
12000,-1743.867662,-1226.804199,-1189.613835,4.65,0.00043472
14000,-1419.61727,-1254.348924,-501.518084,3.04,0.00043384
16000,-916.929517,-1212.171498,-1378.650672,0.31,0.00043296
18000,-1466.24312,-1240.401678,-1616.2691,2.06,0.00043208
20000,-1749.869409,-1291.348451,-1213.174796,9.57,0.0004312
22000,-1772.633505,-1335.101638,-1595.442791,13.38,0.00043032
24000,-1590.794728,-1356.409395,-1776.257729,2.56,0.00042944
26000,-522.185321,-1292.238313,-1561.532342,0.16,0.00042856
28000,-822.685981,-1258.69886,-1348.155456,0.26,0.00042768
30000,-1499.854687,-1274.775916,-846.678225,0.62,0.0004268
32000,-812.994529,-1245.914579,-1401.327045,0.25,0.00042592
34000,-403.567284,-1196.364738,-481.211923,0.13,0.00042504
36000,-303.114551,-1146.739728,-323.696625,0.1,0.00042416
38000,-658.223848,-1121.028366,-379.224508,0.22,0.00042328
40000,-476.495278,-1088.801711,-409.942412,0.14,0.0004224
42000,-479.624114,-1071.337788,-299.23854,0.12,0.00042152
44000,-497.687964,-1045.409128,-274.995076,0.15,0.00042064
46000,-312.98689,-1011.010506,-330.350736,0.09,0.00041976
48000,-330.769416,-975.001151,-328.889065,0.11,0.00041888
50000,-383.482223,-908.181365,-416.863642,0.12,0.000418
52000,-283.434228,-835.159693,-359.163243,0.09,0.00041712
54000,-271.00465,-777.729062,-326.945198,0.08,0.00041624
56000,-258.441717,-744.804672,-278.972,0.08,0.00041536
58000,-411.010511,-692.043042,-271.915335,0.13,0.00041448
60000,-343.232438,-621.711193,-215.776152,0.1,0.0004136
62000,-445.868761,-555.372956,-365.090635,0.14,0.00041272
64000,-296.320039,-490.649222,-294.082777,0.09,0.00041184
66000,-309.728895,-480.0264,-253.693348,0.1,0.00041096
68000,-434.069368,-460.59557,-189.131344,0.14,0.00041008
70000,-295.775713,-400.391621,-233.256904,0.09,0.0004092
72000,-354.718229,-377.477806,-245.591606,0.11,0.00040832
74000,-282.356491,-371.417266,-200.619006,0.09,0.00040744
76000,-690.297413,-390.776409,-763.266596,0.23,0.00040656
78000,-371.288742,-376.429654,-329.069122,0.12,0.00040568
80000,-416.546588,-373.432219,-274.353154,0.14,0.0004048
82000,-440.01733,-371.45188,-382.694993,0.14,0.00040392
84000,-281.731941,-360.654079,-281.673449,0.09,0.00040304
86000,-454.576531,-367.733561,-275.326485,0.14,0.00040216
88000,-319.277338,-367.158957,-353.626432,0.1,0.00040128
90000,-237.063154,-359.838004,-237.777735,0.07,0.0004004
92000,-309.623991,-361.147492,-253.529267,0.1,0.00039952
94000,-294.672239,-362.330871,-277.867994,0.09,0.00039864
96000,-328.557716,-365.836671,-197.432519,0.1,0.00039776
98000,-263.683604,-358.470326,-173.775427,0.08,0.00039688
100000,-318.464657,-357.231937,-285.297062,0.09,0.000396
102000,-357.840341,-352.830516,-290.036996,0.11,0.00039512
104000,-278.817141,-351.955371,-321.008353,0.08,0.00039424
106000,-345.362533,-353.737053,-262.15262,0.1,0.00039336
108000,-273.5041,-345.70879,-312.632779,0.08,0.00039248
110000,-243.444243,-343.092216,-225.584868,0.08,0.0003916
112000,-318.565308,-341.28457,-193.429166,0.1,0.00039072
114000,-272.099273,-340.771709,-244.616042,0.08,0.00038984
116000,-336.746495,-323.094163,-213.401529,0.1,0.00038896
118000,-258.395917,-317.449522,-236.317125,0.08,0.00038808
120000,-408.595468,-317.051966,-200.04458,0.12,0.0003872
122000,-289.072562,-309.504728,-283.915315,0.09,0.00038632
124000,-263.877062,-308.611984,-242.115968,0.07,0.00038544
126000,-359.564186,-303.861366,-282.615513,0.11,0.00038456
128000,-221.774701,-298.986235,-333.810326,0.07,0.00038368
130000,-322.689719,-303.267563,-176.308229,0.1,0.0003828
132000,-293.906828,-302.481705,-233.036274,0.09,0.00038192
134000,-319.539862,-303.725086,-315.957952,0.1,0.00038104
136000,-307.582969,-302.676348,-304.982764,0.1,0.00038016
138000,-281.462479,-303.565292,-333.092858,0.09,0.00037928
140000,-309.597753,-303.121947,-206.444517,0.1,0.0003784
142000,-363.405402,-303.4002,-243.09181,0.1,0.00037752
144000,-262.55253,-302.58697,-197.899882,0.09,0.00037664
146000,-283.015341,-299.46961,-294.534816,0.08,0.00037576
148000,-279.725855,-299.780698,-263.743666,0.09,0.00037488
150000,-277.293263,-301.473149,-242.168674,0.09,0.000374
152000,-260.597314,-298.574749,-306.868172,0.08,0.00037312
154000,-361.951005,-303.067336,-293.324423,0.11,0.00037224
156000,-365.279709,-304.493996,-331.711519,0.11,0.00037136
158000,-340.389109,-308.593656,-199.214547,0.11,0.00037048
160000,-247.814277,-300.554596,-289.848358,0.07,0.0003696
162000,-320.154764,-302.108706,-212.724222,0.1,0.00036872
164000,-272.335211,-302.531614,-218.460425,0.08,0.00036784
166000,-313.34244,-300.220527,-260.222531,0.09,0.00036696
168000,-296.969862,-303.980285,-200.733009,0.09,0.00036608
170000,-350.366717,-305.364135,-189.592772,0.11,0.0003652
172000,-305.323485,-305.934967,-222.228809,0.09,0.00036432
174000,-266.242549,-303.270102,-292.562867,0.08,0.00036344
176000,-347.387035,-305.260305,-235.934637,0.1,0.00036256
178000,-250.025181,-303.68844,-234.349474,0.08,0.00036168
180000,-332.034092,-304.810257,-249.544437,0.1,0.0003608
182000,-245.033274,-298.891651,-201.557213,0.08,0.00035992
184000,-380.27706,-304.777877,-309.814861,0.11,0.00035904
186000,-261.779721,-303.716096,-298.262705,0.08,0.00035816
188000,-332.99196,-306.379401,-310.048723,0.1,0.00035728
190000,-290.059167,-307.017697,-201.883865,0.09,0.0003564
192000,-270.737499,-307.524706,-182.466169,0.08,0.00035552
194000,-380.862095,-308.47026,-229.06342,0.11,0.00035464
196000,-330.520042,-306.732277,-344.301392,0.11,0.00035376
198000,-240.1587,-301.720757,-241.24001,0.07,0.00035288
