timestep,return,return_avg,return_tr,nMAE,lr
2000,-1165.156136,-1165.156136,-1153.302011,0.38,0.00043912
4000,-927.530583,-1046.343359,-673.445696,0.31,0.00043824
6000,-1083.158791,-1058.61517,-938.665121,0.38,0.00043736
8000,-885.165918,-1015.252857,-919.841649,0.33,0.00043648
10000,-1473.482635,-1106.898813,-814.909775,2.25,0.0004356
12000,-1408.140236,-1157.105717,-966.914611,2.11,0.00043472
14000,-1330.293968,-1181.846895,-885.778072,1.17,0.00043384
16000,-1535.470844,-1226.049889,-1142.298755,1.42,0.00043296
18000,-1477.869943,-1254.029895,-1635.37638,0.59,0.00043208
20000,-1024.76495,-1231.1034,-1219.956629,0.34,0.0004312
22000,-1516.99006,-1257.093097,-960.395776,1.48,0.00043032
24000,-1549.58782,-1281.467657,-773.043463,1.84,0.00042944
26000,,-1281.467657,-916.14221,,0.00042856
28000,-1631.995296,-1308.431322,-1437.745934,2.85,0.00042768
33780,-532.852847,-1253.032859,-666.123295,0.17,0.00042514
35780,-1208.662579,-1250.07484,-339.695817,0.5,0.00042426
37780,-401.809788,-1197.058275,-220.729302,0.11,0.00042338
39780,-1657.132302,-1224.121453,-343.837651,7.56,0.0004225
41780,-507.424427,-1184.304951,-384.430913,0.16,0.00042162
43780,-469.240641,-1146.669988,-568.737054,0.14,0.00042074
45780,-463.379942,-1112.505485,-606.644966,0.15,0.00041986
47780,-1792.72324,-1143.883841,-505.617699,7.6,0.00041898
49780,-500.399457,-1122.527284,-456.626885,0.15,0.0004181
51780,-562.437597,-1096.491225,-488.543012,0.19,0.00041722
53780,-484.759669,-1076.470912,-472.540057,0.16,0.00041634
55780,-497.70269,-1027.681915,-423.431245,0.15,0.00041546
57780,-1350.889693,-1024.819388,-625.428441,1.15,0.00041458
59780,-1832.510348,-1049.930207,-1209.245964,7.47,0.0004137
61780,-1880.179004,-1067.165615,-1372.117223,8.66,0.00041282
63780,-1451.70632,-1065.857434,-1398.937165,0.67,0.00041194
65780,-465.71607,-1037.904989,-1529.741809,0.15,0.00041106
67780,-373.615713,-980.736272,-387.344288,0.11,0.00041018
69780,-398.429839,-923.178373,-950.74113,0.12,0.0004093
71780,,-923.178373,-1059.68904,,0.00040842
73780,-419.492678,-862.553242,-1054.637618,0.13,0.00040754
75780,-514.050182,-861.613109,-483.778604,0.15,0.00040666
77780,-618.930218,-832.126491,-379.4068,0.23,0.00040578
