timestep,return,return_avg,return_tr,nMAE,lr
2000,-1308.081206,-1308.081206,-1318.024145,0.6,0.00043912
4000,-1356.191727,-1332.136467,-1299.439095,1.23,0.00043824
6000,-1203.297208,-1289.190047,-1201.305228,0.67,0.00043736
8000,-1463.528277,-1332.774605,-1164.797467,1.61,0.00043648
10000,-1411.48308,-1348.5163,-1193.303711,1.46,0.0004356
12000,-1358.428898,-1350.168399,-1329.70972,0.66,0.00043472
14000,-1420.537,-1360.221056,-1267.546704,0.72,0.00043384
16000,-1289.453474,-1351.375109,-1296.635529,1.36,0.00043296
18000,-1819.360936,-1403.373534,-1282.42543,6.17,0.00043208
20000,-1264.427423,-1389.478923,-1456.373769,1.08,0.0004312
22000,-1042.308312,-1357.917958,-1319.873448,0.4,0.00043032
24000,-1746.27619,-1390.281144,-723.60348,1.57,0.00042944
26000,-1869.056414,-1427.110011,-749.635003,1.28,0.00042856
29973,-896.409947,-1389.202864,-706.492322,1.44,0.00042681
31973,-459.077022,-1327.194474,-324.991096,0.13,0.00042593
33973,-511.247628,-1276.197796,-501.070014,0.15,0.00042505
35973,-392.223611,-1224.199315,-317.341035,0.11,0.00042417
37973,-1031.957973,-1213.51924,-294.571354,0.44,0.00042329
39973,-271.436168,-1163.935921,-251.466306,0.08,0.00042241
41973,-313.322313,-1121.40524,-264.46845,0.09,0.00042153
43973,-385.408724,-1075.271616,-301.201932,0.12,0.00042065
45973,-403.95297,-1027.659678,-238.985964,0.12,0.00041977
47973,-359.227311,-985.456183,-287.856908,0.1,0.00041889
49973,-290.242862,-926.791913,-273.836098,0.08,0.00041801
51973,-300.371298,-871.236324,-172.012163,0.09,0.00041713
53973,-453.026498,-825.966204,-234.739009,0.12,0.00041625
55973,-282.224538,-769.050581,-227.653345,0.07,0.00041537
57973,-363.410288,-722.748421,-211.037088,0.1,0.00041449
59973,-316.526081,-647.606679,-206.635378,0.09,0.00041361
61973,-259.089032,-597.339759,-200.113589,0.07,0.00041273
63973,-239.772713,-557.212979,-210.995724,0.07,0.00041185
65973,-320.779754,-485.938157,-270.286511,0.09,0.00041097
67973,-218.007059,-403.38569,-214.134554,0.07,0.00041009
69973,-261.742287,-371.652307,-187.144537,0.08,0.00040921
71973,-354.969387,-366.446925,-133.784793,0.11,0.00040833
73973,-295.663946,-355.667741,-240.861612,0.09,0.00040745
75973,-880.121912,-380.062656,-260.441523,0.28,0.00040657
77973,-348.517064,-345.89061,-405.181614,0.1,0.00040569
79973,-311.711535,-347.904379,-289.360325,0.09,0.00040481
81973,-344.722808,-349.474403,-334.837171,0.1,0.00040393
83973,-298.856073,-345.146771,-240.947832,0.09,0.00040305
85973,-352.067839,-342.552514,-234.497964,0.1,0.00040217
87973,-255.443362,-337.363317,-170.227529,0.08,0.00040129
89973,-264.527391,-336.077543,-274.239582,0.08,0.00040041
91973,-1138.062837,-377.96212,-198.972035,0.67,0.00039953
93973,-448.926806,-377.757136,-218.94217,0.13,0.00039865
95973,-298.119885,-378.551903,-257.291323,0.09,0.00039777
97973,-229.727383,-371.867758,-285.297735,0.07,0.00039689
99973,-241.254066,-368.104157,-208.835025,0.08,0.00039601
101973,-282.690994,-369.284255,-213.410521,0.08,0.00039513
103973,-258.143586,-370.202799,-1154.875772,0.07,0.00039425
105973,-254.64372,-366.895997,-149.310293,0.08,0.00039337
107973,-228.427156,-367.417002,-193.855126,0.07,0.00039249
109973,-271.546503,-367.907213,-132.626134,0.07,0.00039161
111973,-240.830693,-362.200278,-212.032554,0.07,0.00039073
113973,-187.552113,-356.794686,-153.237002,0.06,0.00038985
115973,-225.390497,-324.058116,-192.037144,0.07,0.00038897
117973,-224.862765,-317.875401,-165.328361,0.07,0.00038809
119973,-199.518777,-312.265763,-152.931187,0.06,0.00038721
121973,-562.115147,-323.13538,-193.170367,0.25,0.00038633
123973,-227.376506,-319.561401,-247.309968,0.07,0.00038545
125973,-289.894757,-316.452747,-819.972233,0.09,0.00038457
127973,-1323.536603,-369.857409,-191.839819,0.7,0.00038369
129973,-462.345679,-379.748324,-244.144526,0.21,0.00038281
131973,-343.588417,-340.024603,-406.732624,0.11,0.00038193
133973,-1008.38452,-367.997488,-1152.302756,0.58,0.00038105
135973,-1537.121109,-429.94755,-336.230082,1.16,0.00038017
137973,-1537.646169,-495.343489,-198.078623,3.97,0.00037929
139973,-1612.973673,-563.929469,-1394.505813,1.65,0.00037841
141973,,-563.929469,-991.012075,,0.00037753
143973,,-563.929469,-1539.649181,,0.00037665
147944,-1179.51679,-608.770759,-1637.1628,0.48,0.00037491
149944,-1581.681888,-674.947674,-277.412202,1.45,0.00037403
