timestep,return,return_avg,return_tr,nMAE,lr
2000,-1569.36222,-1569.36222,-1352.180756,1.99,0.00043912
4000,-965.753855,-1267.558037,-820.099136,0.32,0.00043824
6000,-1064.027689,-1199.714588,-1154.217896,0.69,0.00043736
8000,-1257.693204,-1214.209242,-1005.759493,0.81,0.00043648
10000,-1175.228146,-1206.413023,-1146.953216,1.33,0.0004356
12000,-1160.676848,-1198.790327,-1198.451883,0.46,0.00043472
14000,-1237.328349,-1204.295759,-925.988861,1.51,0.00043384
16000,-861.938788,-1161.501137,-1102.905788,0.29,0.00043296
18000,-1517.457386,-1201.051832,-748.372242,0.75,0.00043208
20000,-1085.899993,-1189.536648,-515.065994,0.81,0.0004312
22000,-1090.118559,-1180.49864,-440.740382,0.41,0.00043032
24000,-1854.484552,-1236.664132,-1360.146976,9.65,0.00042944
26000,-1813.201841,-1281.013187,-1099.989661,11.38,0.00042856
28000,-828.608341,-1248.698555,-508.773159,0.25,0.00042768
30000,-432.971761,-1194.316769,-425.745841,0.13,0.0004268
32000,-465.85971,-1148.788203,-385.09062,0.15,0.00042592
34000,-1735.197409,-1183.282862,-532.704422,6.57,0.00042504
36000,-277.898801,-1132.983747,-344.583911,0.09,0.00042416
38000,-415.403719,-1095.216377,-237.088956,0.12,0.00042328
40000,-431.423917,-1062.026754,-277.563199,0.12,0.0004224
42000,-315.588963,-999.338091,-319.818433,0.1,0.00042152
44000,-355.831138,-968.841956,-245.967119,0.1,0.00042064
46000,-275.945366,-929.43784,-180.118727,0.09,0.00041976
48000,-864.556276,-909.780993,-296.642987,0.38,0.00041888
50000,-391.105747,-870.574873,-299.631485,0.11,0.000418
52000,-413.152279,-833.198645,-368.092207,0.12,0.00041712
54000,-553.166497,-798.990552,-308.827639,0.18,0.00041624
56000,-420.550682,-776.921147,-245.438223,0.11,0.00041536
58000,-291.108046,-715.60368,-1576.341924,0.09,0.00041448
60000,-317.859824,-677.201671,-211.208256,0.1,0.0004136
62000,-281.934512,-636.792469,-273.696472,0.09,0.00041272
64000,-298.590487,-558.997766,-216.718326,0.09,0.00041184
66000,-279.702657,-482.322807,-237.518777,0.09,0.00041096
68000,-834.296183,-482.607199,-288.514813,0.55,0.00041008
70000,-384.106717,-480.163946,-234.921554,0.11,0.0004092
72000,-1211.39552,-517.440737,-342.580698,5.58,0.00040832
74000,-353.605134,-448.361123,-288.056459,0.11,0.00040744
76000,-247.71318,-446.851842,-475.702673,0.08,0.00040656
78000,-321.348195,-442.149066,-186.083857,0.09,0.00040568
80000,-335.057361,-437.330738,-223.8354,0.1,0.0004048
82000,-314.52519,-437.277549,-148.199321,0.09,0.00040392
84000,-315.867773,-435.279381,-184.201366,0.09,0.00040304
86000,-782.061982,-460.585212,-260.163422,0.73,0.00040216
88000,-336.57524,-434.18616,-194.50828,0.09,0.00040128
90000,-346.583463,-431.960046,-178.260203,0.09,0.0004004
92000,-235.372318,-423.071048,-239.402694,0.07,0.00039952
94000,-309.885878,-410.907017,-225.756663,0.08,0.00039864
96000,-267.78988,-403.268977,-246.721526,0.08,0.00039776
98000,-284.455112,-402.93633,-211.0734,0.08,0.00039688
100000,-312.194228,-402.65305,-282.339983,0.09,0.000396
102000,-324.586757,-404.785663,-232.101429,0.09,0.00039512
104000,-288.929917,-404.302634,-220.08477,0.08,0.00039424
106000,-1356.201629,-458.127583,-261.590849,6.13,0.00039336
108000,-333.117054,-433.068626,-291.243145,0.1,0.00039248
