timestep,return,return_avg,return_tr,nMAE,lr
2000,-232.594526,-232.594526,-363.23595,0.57,0.0002994
4000,-259.986713,-246.290619,-130.515463,0.64,0.0002988
6000,-277.672506,-256.751248,-81.817508,0.69,0.0002982
8000,-286.034876,-264.072155,-253.509916,0.71,0.0002976
10000,-318.054933,-274.868711,-128.297364,0.78,0.000297
12000,-269.296034,-273.939931,-29.568686,0.67,0.0002964
14000,-286.540751,-275.740048,-267.227076,0.7,0.0002958
16000,-275.676238,-275.732072,-179.812924,0.68,0.0002952
18000,-265.446245,-274.589202,-55.42502,0.65,0.0002946
20000,-244.776449,-271.607927,-274.211332,0.62,0.000294
22000,-258.005269,-270.371322,-133.424038,0.63,0.0002934
24000,-396.694429,-280.898247,-42.767431,1.04,0.0002928
26000,-429.312599,-292.314736,-288.53289,1.29,0.0002922
28000,-349.105243,-296.371201,-339.055696,0.87,0.0002916
30000,-489.844442,-309.269417,-272.639131,2.34,0.000291
32000,-286.153671,-307.824683,-408.294309,0.85,0.0002904
34000,-22.771706,-291.05686,-158.733228,0.07,0.0002898
36000,-39.75112,-277.09543,-82.770198,0.12,0.0002892
38000,-15.81261,-263.343703,-98.719017,0.07,0.0002886
40000,-11.283669,-250.740701,-11.143912,0.04,0.000288
42000,-18.494808,-240.035715,-9.790137,0.08,0.0002874
44000,-12.380941,-227.655427,-10.858402,0.05,0.0002868
46000,-16.738734,-214.608738,-21.161278,0.07,0.0002862
48000,-16.828493,-201.148419,-28.481478,0.07,0.0002856
50000,-13.032959,-185.89732,-15.763947,0.05,0.000285
52000,-10.943475,-172.979692,-12.232281,0.04,0.0002844
54000,-73.467736,-162.326042,-9.852878,0.21,0.0002838
56000,-52.92673,-151.188566,-119.574413,0.14,0.0002832
58000,-30.752766,-139.453892,-8.36953,0.1,0.0002826
60000,-137.017324,-134.065936,-7.977706,0.34,0.000282
62000,-197.668529,-131.049099,-270.255872,0.5,0.0002814
64000,-30.987021,-112.763729,-36.019407,0.09,0.0002808
66000,-34.883657,-93.042282,-14.602737,0.11,0.0002802
68000,-103.87554,-80.780797,-98.311844,0.28,0.0002796
