timestep,return,return_avg,return_tr,nMAE,lr
2000,,0,-1335.790512,,0.00043912
4000,-902.640324,-902.640324,-1017.907557,0.33,0.00043824
6000,-1106.749271,-1004.694797,-905.236693,0.54,0.00043736
8000,-1053.700927,-1021.030174,-1036.366156,0.4,0.00043648
10000,-1077.065343,-1035.038966,-1099.196579,0.37,0.0004356
12000,-1015.674814,-1031.166136,-1184.006918,0.34,0.00043472
14000,-1454.518033,-1101.724785,-1005.403269,2.01,0.00043384
16000,-1291.406213,-1128.822132,-836.588059,0.63,0.00043296
18000,-1576.152663,-1184.738448,-1312.836517,0.89,0.00043208
20000,-1354.348324,-1203.58399,-1430.423228,1.57,0.0004312
22000,-1431.175023,-1226.343093,-1042.808409,0.72,0.00043032
24000,-1684.748069,-1268.016273,-1236.732708,7.01,0.00042944
26000,-1438.080506,-1282.188293,-975.014989,4.83,0.00042856
28000,-465.459989,-1219.363038,-358.721115,0.14,0.00042768
30000,-367.545587,-1158.518935,-307.176018,0.12,0.0004268
32000,-339.561118,-1103.921747,-365.6401,0.1,0.00042592
34000,-852.92452,-1088.23442,-389.390114,0.56,0.00042504
36000,-1461.351275,-1110.182471,-400.408004,1.01,0.00042416
38000,-468.958699,-1074.558928,-269.441655,0.23,0.00042328
40000,-499.487628,-1044.292017,-1211.805586,0.16,0.0004224
42000,-380.025321,-1011.078682,-314.460191,0.13,0.00042152
44000,-473.713888,-989.632361,-314.714126,0.22,0.00042064
46000,-339.073104,-951.248552,-726.246499,0.11,0.00041976
48000,-371.773624,-917.152187,-193.741912,0.11,0.00041888
50000,-458.024822,-886.200161,-279.966608,0.15,0.000418
52000,-455.121124,-858.172476,-248.409309,0.15,0.00041712
54000,-342.570715,-802.575111,-343.60743,0.11,0.00041624
56000,-1421.656756,-809.087638,-413.983002,6.77,0.00041536
58000,-573.445702,-758.95229,-319.498489,0.18,0.00041448
60000,-1589.848,-770.727274,-360.528316,6.02,0.0004136
62000,-340.668847,-716.201965,-461.896634,0.11,0.00041272
64000,-309.057327,-647.417428,-343.776377,0.1,0.00041184
66000,-427.919617,-596.909383,-1363.379692,0.14,0.00041096
68000,-248.280123,-586.05039,-180.221597,0.08,0.00041008
70000,-512.343423,-593.290282,-276.233965,0.17,0.0004092
72000,-257.668845,-589.195668,-244.890818,0.08,0.00040832
74000,-277.006998,-560.399792,-288.588928,0.08,0.00040744
76000,-422.365185,-508.450487,-276.731996,0.15,0.00040656
78000,-900.16599,-530.010852,-361.177288,0.44,0.00040568
80000,-355.346579,-522.803799,-377.805038,0.12,0.0004048
82000,-291.168893,-518.360978,-288.853462,0.09,0.00040392
84000,-592.727335,-524.31165,-403.60284,0.26,0.00040304
86000,-270.975845,-520.906787,-195.245941,0.08,0.00040216
88000,-297.919506,-517.214082,-268.676945,0.09,0.00040128
90000,-302.803596,-509.45302,-206.267481,0.09,0.0004004
92000,-245.322253,-498.963077,-239.803253,0.07,0.00039952
94000,-272.237148,-495.446398,-243.818287,0.08,0.00039864
96000,-278.503746,-438.288748,-242.020393,0.08,0.00039776
98000,-313.384068,-425.285666,-276.409188,0.09,0.00039688
100000,-308.214945,-361.204013,-224.387225,0.1,0.000396
102000,-264.209446,-357.381043,-240.685208,0.08,0.00039512
104000,-303.500453,-357.1032,-254.43265,0.1,0.00039424
106000,-297.888402,-350.601639,-218.400641,0.1,0.00039336
108000,-274.244881,-351.899877,-160.184672,0.08,0.00039248
110000,-277.397442,-340.152578,-267.698487,0.08,0.0003916
112000,-281.316526,-341.334962,-225.71867,0.09,0.00039072
114000,-377.253087,-346.347266,-265.442687,0.12,0.00038984
116000,-399.960482,-345.227031,-177.55239,0.13,0.00038896
118000,-310.676926,-315.752578,-177.893187,0.09,0.00038808
120000,-269.729184,-311.471708,-252.872525,0.08,0.0003872
122000,-373.929218,-315.609724,-288.794504,0.12,0.00038632
124000,-251.269895,-298.536852,-218.899556,0.08,0.00038544
126000,-255.26425,-297.751273,-294.596007,0.08,0.00038456
128000,-302.474309,-297.979013,-204.507376,0.09,0.00038368
130000,-309.941379,-298.335902,-255.489445,0.1,0.0003828
132000,-460.341082,-309.086843,-305.258681,0.14,0.00038192
134000,-282.853284,-309.61765,-280.223767,0.09,0.00038104
136000,-328.776142,-312.13127,-182.477693,0.1,0.00038016
138000,-323.359732,-312.630053,-286.911693,0.1,0.00037928
140000,-276.701575,-311.054385,-294.53783,0.09,0.0003784
142000,-231.46546,-309.417185,-188.711528,0.07,0.00037752
144000,-285.827003,-308.533513,-192.691274,0.08,0.00037664
146000,-344.827309,-310.880458,-254.553302,0.11,0.00037576
148000,-245.967653,-309.466597,-182.929109,0.08,0.00037488
150000,-295.148634,-310.354156,-249.800081,0.09,0.000374
152000,-211.320242,-306.854342,-205.52358,0.06,0.00037312
154000,-230.51426,-299.517401,-238.122112,0.07,0.00037224
156000,-224.926304,-290.765692,-194.390598,0.07,0.00037136
158000,-213.851661,-285.924429,-151.481497,0.06,0.00037048
160000,-204.413714,-282.658655,-256.639758,0.06,0.0003696
162000,-229.638035,-275.444096,-173.057557,0.07,0.00036872
164000,-214.773283,-273.619265,-163.487729,0.06,0.00036784
166000,-203.534237,-271.032765,-194.984095,0.06,0.00036696
168000,-212.736399,-266.545869,-177.730806,0.06,0.00036608
170000,-228.319471,-262.464774,-166.449336,0.07,0.0003652
172000,-227.001364,-250.797788,-200.542066,0.07,0.00036432
174000,-232.419783,-248.276113,-217.736302,0.07,0.00036344
176000,-218.742582,-242.774435,-133.16895,0.07,0.00036256
178000,-281.604751,-240.686686,-169.004909,0.08,0.00036168
180000,-249.726305,-239.337922,-140.090782,0.08,0.0003608
182000,-237.929903,-239.661145,-184.525461,0.07,0.00035992
184000,-220.871168,-236.413353,-167.519268,0.07,0.00035904
186000,-233.069774,-230.825476,-188.877572,0.07,0.00035816
188000,-236.167221,-230.335454,-257.645625,0.07,0.00035728
190000,-258.792147,-228.51763,-145.336014,0.08,0.0003564
192000,-275.604878,-231.731862,-203.065699,0.09,0.00035552
194000,-252.151905,-232.813744,-309.023452,0.08,0.00035464
196000,-217.107021,-232.42278,-249.607932,0.07,0.00035376
198000,-259.13345,-234.686869,-252.688301,0.08,0.00035288
200000,-295.180638,-239.225216,-271.883182,0.08,0.000352
202000,-262.248941,-240.855761,-147.866044,0.08,0.00035112
204000,-206.662312,-240.450212,-171.284332,0.06,0.00035024
206000,-237.59679,-242.15334,-259.042694,0.07,0.00034936
208000,-242.363145,-243.634677,-186.063592,0.07,0.00034848
210000,-296.781669,-247.057787,-148.545507,0.09,0.0003476
212000,-229.503563,-247.182897,-232.964717,0.07,0.00034672
214000,-198.684128,-245.496114,-230.170406,0.06,0.00034584
216000,-273.258964,-248.221934,-222.49432,0.08,0.00034496
218000,-211.101123,-244.696752,-182.347207,0.06,0.00034408
220000,-267.991684,-245.610021,-190.468037,0.08,0.0003432
222000,-272.920205,-247.359536,-251.860317,0.08,0.00034232
224000,-303.185368,-251.475246,-258.978107,0.09,0.00034144
226000,-290.324178,-254.337966,-157.460441,0.09,0.00034056
228000,-313.997515,-258.229481,-203.979502,0.1,0.00033968
230000,-284.03937,-259.491842,-196.017981,0.09,0.0003388
232000,-529.605112,-272.191854,-175.295081,0.17,0.00033792
234000,-240.437663,-271.606142,-185.620058,0.07,0.00033704
236000,-274.752027,-274.488392,-188.190747,0.08,0.00033616
238000,-251.015929,-274.082516,-151.264378,0.08,0.00033528
240000,-256.947109,-272.17084,-215.654823,0.08,0.0003344
242000,-220.930924,-270.104939,-204.757261,0.07,0.00033352
244000,-246.081809,-272.075914,-212.538864,0.07,0.00033264
246000,-239.776332,-272.184891,-209.110979,0.07,0.00033176
248000,-294.851131,-274.80929,-172.765321,0.09,0.00033088
250000,-246.836377,-272.312026,-148.339818,0.08,0.00033
252000,-249.941612,-273.333928,-206.607961,0.08,0.00032912
254000,-219.442405,-274.371842,-177.590518,0.07,0.00032824
256000,-283.817156,-274.899751,-193.076057,0.09,0.00032736
258000,-285.655375,-278.627464,-193.250448,0.09,0.00032648
260000,-278.788167,-279.167288,-207.15069,0.09,0.0003256
262000,-260.134784,-278.528017,-198.386756,0.08,0.00032472
264000,-255.090922,-276.123295,-213.534022,0.08,0.00032384
266000,-266.002318,-274.907202,-177.965698,0.08,0.00032296
268000,-248.899079,-271.65228,-256.332547,0.08,0.00032208
270000,-286.199518,-271.760288,-284.763279,0.09,0.0003212
272000,-220.305668,-256.295315,-254.910915,0.07,0.00032032
274000,-272.430744,-257.894969,-198.806064,0.09,0.00031944
276000,-309.877714,-259.651254,-222.339842,0.09,0.00031856
278000,-265.548274,-260.377871,-195.05957,0.08,0.00031768
280000,-385.647779,-266.812904,-199.475613,0.11,0.0003168
282000,-263.840461,-268.958381,-231.639538,0.08,0.00031592
284000,-264.658926,-269.887237,-239.704025,0.08,0.00031504
286000,-235.396475,-269.668244,-216.054853,0.07,0.00031416
288000,-270.072056,-268.429291,-272.72141,0.08,0.00031328
290000,-252.130146,-268.693979,-259.588434,0.08,0.0003124
292000,-270.384729,-269.716135,-241.200603,0.08,0.00031152
294000,-224.168005,-269.952415,-227.158998,0.07,0.00031064
296000,-221.81675,-266.852395,-152.285589,0.07,0.00030976
298000,-267.27836,-265.933544,-205.019503,0.08,0.00030888
300000,-237.324469,-263.860359,-180.871137,0.07,0.000308
302000,-278.811264,-264.794183,-188.178138,0.08,0.00030712
304000,-256.26205,-264.852739,-211.914323,0.08,0.00030624
306000,-231.780886,-263.141668,-205.13611,0.07,0.00030536
308000,-242.404001,-262.816914,-201.277686,0.07,0.00030448
310000,-248.751536,-260.944515,-193.773204,0.07,0.0003036
312000,-296.9101,-264.774736,-223.27032,0.09,0.00030272
314000,-276.997247,-265.003061,-196.6672,0.08,0.00030184
316000,-254.26506,-262.222429,-157.1265,0.08,0.00030096
318000,-259.69653,-261.929841,-212.943839,0.08,0.00030008
320000,-257.799434,-255.537424,-147.836851,0.08,0.0002992
322000,-275.042862,-256.097544,-201.963621,0.08,0.00029832
324000,-242.501439,-254.98967,-186.048862,0.07,0.00029744
326000,-276.021468,-257.02092,-194.014781,0.08,0.00029656
328000,-251.226239,-256.078629,-203.610865,0.08,0.00029568
330000,-303.297879,-258.637015,-231.449911,0.09,0.0002948
332000,-227.156987,-256.475628,-194.51456,0.07,0.00029392
334000,-238.760646,-257.20526,-155.782805,0.07,0.00029304
336000,-233.955725,-257.812209,-225.114286,0.07,0.00029216
338000,-296.228198,-259.259701,-205.600285,0.09,0.00029128
340000,-235.488081,-259.167882,-236.42137,0.07,0.0002904
342000,-249.06435,-257.680536,-166.943271,0.07,0.00028952
344000,-257.801828,-257.757525,-247.260082,0.08,0.00028864
346000,-257.700865,-259.053524,-152.720085,0.08,0.00028776
348000,-233.582039,-258.612426,-150.814309,0.07,0.00028688
350000,-239.584824,-258.15409,-158.024605,0.07,0.000286
352000,-257.293193,-256.173245,-208.081425,0.08,0.00028512
354000,-234.983074,-254.072536,-209.241634,0.07,0.00028424
356000,-232.921719,-253.005369,-166.724733,0.07,0.00028336
358000,-253.228711,-252.681978,-220.206427,0.08,0.00028248
360000,-285.778591,-254.080936,-249.790688,0.09,0.0002816
362000,-259.28014,-253.2928,-214.468781,0.08,0.00028072
364000,-224.008142,-252.368135,-215.538813,0.07,0.00027984
366000,-212.284754,-249.181299,-164.864104,0.06,0.00027896
368000,-288.540232,-251.046999,-277.53609,0.09,0.00027808
370000,-274.793997,-249.621805,-153.234315,0.08,0.0002772
372000,-233.280645,-249.927988,-211.888349,0.07,0.00027632
374000,-260.286684,-251.00429,-185.041679,0.07,0.00027544
376000,-247.53345,-251.683176,-253.303616,0.07,0.00027456
378000,-250.402461,-249.391889,-193.861817,0.08,0.00027368
380000,-315.183332,-253.376652,-157.147659,0.09,0.0002728
382000,-295.181381,-255.682503,-191.150406,0.09,0.00027192
384000,-254.60612,-255.522718,-176.209161,0.08,0.00027104
386000,-240.239511,-254.64965,-186.337321,0.07,0.00027016
388000,-271.274609,-256.534279,-202.516204,0.08,0.00026928
390000,-270.252191,-258.067647,-202.626004,0.08,0.0002684
392000,-216.674303,-256.036702,-225.974167,0.07,0.00026752
394000,-293.998176,-258.987457,-238.568586,0.08,0.00026664
396000,-254.733997,-260.078071,-229.508349,0.08,0.00026576
398000,-249.8736,-259.910316,-140.845529,0.08,0.00026488
400000,-235.311293,-257.386951,-193.279669,0.07,0.000264
402000,-254.278443,-257.136866,-190.445353,0.07,0.00026312
404000,-291.101008,-260.491509,-279.083518,0.09,0.00026224
406000,-229.138205,-261.334182,-210.969152,0.07,0.00026136
408000,-213.332962,-257.573818,-189.274768,0.06,0.00026048
410000,-238.240036,-255.74612,-200.011627,0.07,0.0002596
412000,-239.750614,-256.069619,-205.148524,0.08,0.00025872
414000,-247.417628,-255.426166,-239.78065,0.08,0.00025784
416000,-234.662534,-254.78262,-230.758863,0.07,0.00025696
418000,-249.772483,-254.751121,-229.910811,0.07,0.00025608
420000,-237.135703,-250.84874,-167.63579,0.07,0.0002552
422000,-221.84432,-247.181887,-227.921245,0.07,0.00025432
424000,-262.719033,-247.587532,-180.436948,0.08,0.00025344
426000,-243.495547,-247.750334,-199.111714,0.07,0.00025256
428000,-247.713705,-246.572289,-209.818305,0.08,0.00025168
430000,-288.510874,-247.485223,-242.443816,0.09,0.0002508
432000,-275.682216,-250.435619,-268.32077,0.08,0.00024992
434000,-247.616345,-248.116527,-181.923161,0.07,0.00024904
436000,-210.476898,-245.903672,-157.467531,0.06,0.00024816
438000,-250.71147,-245.945566,-140.609141,0.08,0.00024728
440000,-253.149935,-246.837498,-238.154452,0.08,0.0002464
442000,-264.388359,-247.342994,-232.686051,0.08,0.00024552
444000,-276.054512,-246.590669,-270.253632,0.08,0.00024464
446000,-241.842261,-247.225872,-171.419431,0.07,0.00024376
448000,-297.400148,-251.429231,-146.307267,0.09,0.00024288
450000,-298.47122,-254.44079,-203.628304,0.09,0.000242
452000,-317.12548,-258.309533,-242.391747,0.09,0.00024112
454000,-234.706098,-257.673957,-125.1618,0.07,0.00024024
456000,-261.424595,-259.01206,-137.479542,0.08,0.00023936
458000,-259.23214,-259.485043,-133.903217,0.08,0.00023848
460000,-247.400899,-259.998303,-207.590206,0.07,0.0002376
462000,-305.994979,-264.205836,-192.157843,0.09,0.00023672
464000,-253.582073,-263.748988,-242.261504,0.08,0.00023584
