timestep,return,return_avg,return_tr,nMAE,lr
2000,-260.814497,-260.814497,-519.99145,0.64,0.0002994
4000,-316.907875,-288.861186,-169.448552,0.79,0.0002988
6000,-181.627254,-253.116542,-95.090305,0.45,0.0002982
8000,-273.18525,-258.133719,-289.37285,0.68,0.0002976
10000,-333.127441,-273.132463,-153.935636,0.83,0.000297
12000,-246.928635,-268.765159,-25.52435,0.61,0.0002964
14000,-219.846266,-261.776745,-230.343852,0.56,0.0002958
16000,-323.315848,-269.469133,-201.93101,0.8,0.0002952
18000,-272.476294,-269.803262,-51.942137,0.68,0.0002946
20000,-423.261664,-285.149102,-270.338182,1.07,0.000294
22000,-441.417899,-299.355357,-178.838269,1.15,0.0002934
24000,-441.632288,-311.211768,-80.670351,1.18,0.0002928
26000,-442.282543,-321.294135,-327.441904,1.19,0.0002922
28000,-409.902631,-327.623313,-332.119157,1.23,0.0002916
30000,-498.485698,-339.014139,-244.481745,2.65,0.000291
32000,-435.249145,-345.028827,-475.975821,1.97,0.0002904
34000,-536.253053,-356.277311,-359.953439,3.26,0.0002898
36000,-529.299666,-365.889664,-431.419216,3.04,0.0002892
38000,-543.775556,-375.252079,-505.055317,3.33,0.0002886
40000,-523.452794,-382.662115,-504.116282,2.81,0.000288
42000,-391.312235,-389.187002,-439.05079,1.08,0.0002874
44000,-240.663942,-385.374805,-183.149937,0.74,0.0002868
46000,-241.168518,-388.351868,-112.315101,0.75,0.0002862
48000,-73.744571,-378.379834,-179.423128,0.21,0.0002856
50000,-93.606641,-366.403794,-85.037402,0.29,0.000285
52000,-188.03348,-363.459037,-230.439014,0.5,0.0002844
54000,-154.015488,-360.167498,-408.624524,0.41,0.0002838
56000,-72.742733,-347.638842,-126.429997,0.21,0.0002832
58000,-55.256314,-336.777843,-97.889203,0.17,0.0002826
60000,-43.420735,-317.785796,-57.987989,0.12,0.000282
62000,-43.297355,-297.879769,-50.969526,0.13,0.0002814
64000,-47.346621,-278.165486,-54.998802,0.14,0.0002808
66000,-57.740669,-258.938392,-69.211346,0.16,0.0002802
68000,-55.207876,-241.203654,-56.981668,0.15,0.0002796
70000,-51.055718,-218.832155,-58.289684,0.15,0.000279
72000,-46.771185,-199.408257,-63.040789,0.14,0.0002784
74000,-26.617295,-173.92647,-44.88127,0.08,0.0002778
76000,-37.961024,-149.359537,-46.926994,0.12,0.0002772
78000,-49.042951,-124.622907,-57.621387,0.14,0.0002766
80000,-26.986506,-99.799593,-23.727623,0.09,0.000276
82000,-36.334232,-82.050693,-37.348382,0.12,0.0002754
84000,-28.393595,-71.437175,-42.085095,0.1,0.0002748
86000,-30.223091,-60.889904,-27.69863,0.1,0.0002742
88000,-71.512614,-60.778306,-35.526219,0.2,0.0002736
90000,-35.328757,-57.864412,-42.051212,0.1,0.000273
92000,-136.336749,-55.279575,-54.908734,0.34,0.0002724
94000,-153.45617,-55.251609,-123.116933,0.4,0.0002718
96000,-150.713715,-59.150159,-100.329397,0.39,0.0002712
98000,-164.20162,-64.597424,-148.958094,0.42,0.0002706
100000,-140.62367,-69.457571,-110.05255,0.37,0.00027
102000,-106.521856,-72.618796,-24.640712,0.28,0.0002694
104000,-118.339135,-76.168421,-118.191455,0.31,0.0002688
106000,-121.193314,-79.341054,-101.5073,0.31,0.0002682
108000,-137.279405,-83.44463,-74.367623,0.36,0.0002676
110000,-119.233571,-86.853523,-125.506496,0.3,0.000267
112000,-119.633265,-90.496627,-107.770918,0.3,0.0002664
114000,-112.488108,-94.790167,-84.692521,0.29,0.0002658
