timestep,return,return_avg,return_tr,nMAE,lr
2000,-949.431917,-949.431917,-1281.147257,0.31,0.00043912
4000,-1371.946546,-1160.689231,-897.857299,0.57,0.00043824
6000,-871.249805,-1064.209423,-1147.348649,0.29,0.00043736
8000,-771.540211,-991.04212,-959.232053,0.24,0.00043648
10000,-1102.015753,-1013.236846,-910.606328,0.54,0.0004356
12000,-1165.277786,-1038.577003,-690.611237,0.39,0.00043472
14000,-1202.05943,-1061.931635,-965.962053,0.43,0.00043384
16000,-1113.677853,-1068.399913,-750.111912,0.45,0.00043296
18000,-1070.585416,-1068.642746,-1051.886732,0.33,0.00043208
20000,-864.575277,-1048.235999,-1010.73506,0.28,0.0004312
22000,-1837.315879,-1119.970534,-817.142473,1.57,0.00043032
24000,-1444.942897,-1147.051564,-937.038579,2.62,0.00042944
26000,-1086.463693,-1142.390959,-765.459605,0.39,0.00042856
28000,-993.900946,-1131.784529,-666.115714,0.35,0.00042768
30000,-369.601342,-1080.972317,-812.834336,0.11,0.0004268
32000,-508.767779,-1045.209533,-403.341863,0.15,0.00042592
34000,-476.895423,-1011.779291,-460.317491,0.13,0.00042504
36000,-279.3841,-971.09067,-303.355736,0.08,0.00042416
38000,-620.078676,-952.616354,-464.944294,0.26,0.00042328
40000,-565.990956,-933.285084,-201.64425,0.24,0.0004224
42000,-452.264843,-908.426731,-330.413246,0.14,0.00042152
44000,-1589.680785,-919.313443,-1569.297694,0.93,0.00042064
46000,-1703.636805,-960.932793,-295.31299,1.03,0.00041976
48000,-1239.839479,-984.347756,-287.924385,0.56,0.00041888
50000,-362.266462,-947.360291,-387.990202,0.11,0.000418
52000,-392.106352,-908.70172,-269.782631,0.12,0.00041712
54000,-300.83592,-863.640544,-306.79227,0.09,0.00041624
56000,-297.446654,-822.828984,-253.505998,0.08,0.00041536
58000,-297.925589,-784.195993,-348.98548,0.08,0.00041448
60000,-1715.700815,-826.75227,-327.603433,1.17,0.0004136
62000,-322.883283,-751.03064,-340.335332,0.1,0.00041272
64000,-347.224272,-696.144709,-344.516967,0.11,0.00041184
66000,-409.950559,-662.319052,-343.144173,0.12,0.00041096
68000,-412.759808,-633.261995,-357.269123,0.11,0.00041008
70000,-278.293593,-628.696608,-274.347025,0.08,0.0004092
72000,-390.302781,-622.773358,-311.499513,0.11,0.00040832
74000,-350.609691,-616.459071,-241.161052,0.11,0.00040744
76000,-304.592316,-617.719482,-482.098437,0.08,0.00040656
78000,-400.503235,-606.74071,-354.029757,0.12,0.00040568
80000,-298.254394,-593.353882,-360.857591,0.09,0.0004048
82000,-310.435737,-586.262427,-310.762331,0.09,0.00040392
84000,-457.872264,-529.672,-306.555601,0.15,0.00040304
86000,-327.706387,-460.87548,-227.845318,0.1,0.00040216
88000,-356.098147,-416.688413,-291.313463,0.1,0.00040128
90000,-348.298711,-415.990025,-284.790289,0.1,0.0004004
92000,-274.704395,-410.119928,-246.957512,0.08,0.00039952
94000,-524.888345,-421.322549,-227.282519,0.26,0.00039864
96000,-388.015677,-425.851,-376.291794,0.21,0.00039776
98000,-240.918252,-423.000633,-230.845873,0.07,0.00039688
100000,-302.871001,-352.359142,-243.744432,0.08,0.000396
102000,-432.508777,-357.840417,-379.097653,0.13,0.00039512
104000,-297.455105,-355.351959,-315.102555,0.08,0.00039424
106000,-382.939507,-354.001406,-246.565541,0.11,0.00039336
108000,-336.356717,-350.181252,-202.401755,0.1,0.00039248
110000,-351.277593,-353.830452,-250.229337,0.1,0.0003916
112000,-300.499548,-349.34029,-229.876913,0.09,0.00039072
114000,-283.051735,-345.962392,-364.246235,0.08,0.00038984
116000,-331.153133,-347.290433,-264.072445,0.1,0.00038896
118000,-296.256238,-342.078083,-245.392506,0.08,0.00038808
120000,-307.645912,-342.547659,-332.369548,0.09,0.0003872
122000,-392.674975,-346.659621,-261.712634,0.12,0.00038632
124000,-327.016889,-340.116852,-220.964182,0.1,0.00038544
126000,-253.582794,-336.410672,-216.164933,0.08,0.00038456
128000,-271.72195,-332.191863,-208.539184,0.08,0.00038368
130000,-347.092166,-332.131535,-205.321412,0.1,0.0003828
132000,-267.478569,-331.770244,-289.35195,0.08,0.00038192
134000,-301.311897,-320.591422,-262.654357,0.09,0.00038104
136000,-313.165805,-316.848928,-263.422393,0.09,0.00038016
138000,-310.536121,-320.329821,-432.763148,0.09,0.00037928
140000,-354.727901,-322.922666,-312.014945,0.09,0.0003784
142000,-304.270667,-316.510761,-321.849603,0.1,0.00037752
144000,-370.366931,-320.156352,-304.971008,0.11,0.00037664
146000,-254.308507,-313.724802,-191.585742,0.08,0.00037576
148000,-230.911956,-308.452564,-185.04365,0.07,0.00037488
150000,-303.793387,-306.078354,-245.15036,0.09,0.000374
152000,-251.987652,-303.652759,-231.789484,0.07,0.00037312
154000,-247.341048,-301.867225,-177.480101,0.07,0.00037224
156000,-275.786952,-299.098916,-248.484013,0.08,0.00037136
158000,-246.406947,-296.606451,-259.058422,0.08,0.00037048
160000,-342.110447,-298.329678,-192.185466,0.1,0.0003696
162000,-227.249497,-290.058404,-180.613789,0.07,0.00036872
164000,-274.780881,-287.446604,-162.892051,0.09,0.00036784
166000,-247.464979,-287.140713,-182.74176,0.08,0.00036696
168000,-248.583388,-285.983785,-257.677697,0.07,0.00036608
170000,-309.484107,-284.103382,-197.193793,0.08,0.0003652
172000,-324.951383,-286.977023,-186.51092,0.09,0.00036432
174000,-276.348691,-285.728862,-176.355894,0.08,0.00036344
176000,-343.528182,-287.246981,-260.236871,0.1,0.00036256
178000,-253.18616,-284.379483,-263.787015,0.07,0.00036168
180000,-304.177812,-281.851979,-252.652575,0.08,0.0003608
182000,-324.648518,-282.870871,-231.514064,0.09,0.00035992
184000,-303.159437,-279.510497,-223.457615,0.09,0.00035904
186000,-501.149924,-291.852567,-298.404454,0.15,0.00035816
188000,-383.78465,-299.496202,-248.095097,0.11,0.00035728
190000,-264.909973,-297.552031,-225.031296,0.07,0.0003564
192000,-273.057448,-298.605521,-225.2571,0.08,0.00035552
194000,-295.949961,-301.035967,-247.577672,0.09,0.00035464
196000,-257.796755,-300.136457,-171.040772,0.07,0.00035376
198000,-308.930556,-303.262638,-290.739692,0.08,0.00035288
200000,-291.350821,-300.724656,-261.055465,0.08,0.000352
202000,-248.091737,-301.766768,-243.733028,0.07,0.00035112
204000,-262.967181,-301.176083,-166.68147,0.08,0.00035024
206000,-259.53644,-301.779656,-247.851323,0.08,0.00034936
208000,-287.106057,-303.70579,-191.695783,0.08,0.00034848
210000,-242.849352,-300.374052,-277.622795,0.07,0.0003476
212000,-348.32795,-301.54288,-251.300068,0.1,0.00034672
214000,-311.539323,-303.302412,-310.615373,0.09,0.00034584
