timestep,return,return_avg,return_tr,nMAE,lr
2000,-280.510496,-280.510496,-362.457237,0.7,0.0002994
4000,-309.621425,-295.065961,-187.803708,0.77,0.0002988
6000,-293.392223,-294.508048,-84.402538,0.73,0.0002982
8000,-288.463929,-292.997018,-292.516637,0.72,0.0002976
10000,-312.221937,-296.842002,-158.715573,0.78,0.000297
12000,-241.6361,-287.641018,-58.033037,0.59,0.0002964
14000,-287.552659,-287.628395,-217.77432,0.72,0.0002958
16000,-225.667776,-279.883318,-163.700043,0.56,0.0002952
18000,-323.563585,-284.736681,-42.801241,0.8,0.0002946
20000,-342.349766,-290.49799,-253.377159,0.85,0.000294
22000,-218.418798,-283.945336,-126.303957,0.54,0.0002934
24000,-246.70653,-280.842102,-37.830416,0.62,0.0002928
26000,-263.707848,-279.524082,-191.230248,0.65,0.0002922
28000,-416.710963,-289.323145,-258.981826,1.09,0.0002916
30000,-488.632452,-302.610432,-336.972285,2.14,0.000291
32000,-166.074509,-294.076937,-458.893377,0.43,0.0002904
34000,-46.347533,-279.504619,-22.968175,0.14,0.0002898
36000,-157.225758,-272.711349,-108.984378,0.39,0.0002892
38000,-303.589067,-274.336492,-263.504704,0.76,0.0002886
40000,-118.347076,-266.537022,-121.472272,0.3,0.000288
42000,-30.618314,-254.042412,-41.007665,0.1,0.0002874
44000,-143.460868,-245.734385,-77.740576,0.36,0.0002868
46000,-27.692428,-232.449395,-169.76095,0.08,0.0002862
48000,-39.45831,-219.999114,-68.979272,0.11,0.0002856
50000,-44.325499,-206.604292,-35.941313,0.12,0.000285
52000,-34.672721,-196.256123,-70.766698,0.1,0.0002844
54000,-78.260123,-185.791496,-104.341116,0.2,0.0002838
56000,-27.271955,-175.871705,-28.445159,0.09,0.0002832
58000,-44.618777,-161.924465,-19.446761,0.14,0.0002826
60000,-60.104243,-147.812189,-124.961125,0.16,0.000282
62000,-45.617723,-139.172135,-36.917957,0.13,0.0002814
64000,-33.949373,-128.534277,-104.372852,0.11,0.0002808
66000,-52.39968,-117.968869,-183.561328,0.14,0.0002802
68000,-33.31936,-98.799289,-46.399016,0.11,0.0002796
70000,-86.21649,-78.67849,-36.906121,0.22,0.000279
72000,-89.194892,-74.83451,-41.469846,0.23,0.0002784
74000,-84.223754,-76.728321,-110.497909,0.23,0.0002778
76000,-89.047406,-73.319403,-84.279675,0.24,0.0002772
78000,-99.159455,-63.097922,-24.164586,0.27,0.0002766
80000,-34.444337,-58.902785,-66.598791,0.11,0.000276
82000,-26.987036,-58.721221,-21.168058,0.09,0.0002754
84000,-27.047383,-52.900547,-19.221205,0.09,0.0002748
86000,-22.122087,-52.62203,-32.922064,0.07,0.0002742
88000,-36.042052,-52.451217,-11.123534,0.1,0.0002736
90000,-50.907032,-52.780294,-101.909144,0.15,0.000273
92000,-25.086238,-52.30097,-24.317627,0.08,0.0002724
94000,-74.749207,-52.125424,-15.644004,0.2,0.0002718
96000,-97.395593,-55.631606,-40.622241,0.26,0.0002712
98000,-82.569985,-57.529166,-94.455742,0.23,0.0002706
100000,-88.357739,-58.941841,-68.132994,0.24,0.00027
102000,-64.822756,-59.902093,-55.704441,0.18,0.0002694
104000,-36.958125,-60.05253,-54.394223,0.11,0.0002688
106000,-31.066844,-58.985888,-13.288014,0.1,0.0002682
108000,-37.200691,-59.179955,-30.725969,0.12,0.0002676
110000,-42.07209,-56.972735,-49.209987,0.13,0.000267
112000,-37.222561,-54.374118,-25.988433,0.12,0.0002664
114000,-25.749322,-51.450397,-100.111509,0.08,0.0002658
116000,-88.984173,-51.447235,-27.923065,0.23,0.0002652
118000,-40.084442,-48.493485,-29.724315,0.11,0.0002646
120000,-58.340471,-49.688291,-46.963399,0.16,0.000264
122000,-70.489876,-51.863433,-81.252234,0.19,0.0002634
124000,-86.181237,-54.820126,-74.764207,0.23,0.0002628
126000,-98.599168,-58.64398,-30.643176,0.25,0.0002622
128000,-92.673062,-61.475531,-26.25244,0.25,0.0002616
130000,-37.263678,-60.793363,-18.021554,0.11,0.000261
132000,-47.823224,-61.930212,-166.487202,0.13,0.0002604
134000,-49.314357,-60.65847,-36.051428,0.14,0.0002598
136000,-75.111149,-59.544247,-6.022556,0.21,0.0002592
138000,-64.880236,-58.65976,-182.073076,0.18,0.0002586
140000,-69.532742,-57.71851,-78.822215,0.18,0.000258
142000,-47.910287,-56.872887,-28.85438,0.13,0.0002574
144000,-45.95363,-57.322662,-240.69046,0.13,0.0002568
146000,-84.484073,-59.993523,-68.640915,0.22,0.0002562
148000,-64.438375,-61.355408,-39.997503,0.19,0.0002556
150000,-67.520895,-62.627848,-269.255705,0.18,0.000255
152000,-32.522871,-62.392863,-26.539538,0.09,0.0002544
154000,-27.972773,-62.504036,-8.499141,0.1,0.0002538
156000,-44.870428,-60.298349,-345.666513,0.13,0.0002532
158000,-50.18147,-60.8032,-19.932844,0.14,0.0002526
160000,-55.101464,-60.64125,-66.527964,0.16,0.000252
162000,-30.881968,-58.660854,-35.209935,0.09,0.0002514
164000,-85.350432,-58.619314,-49.78063,0.23,0.0002508
166000,-58.090831,-56.593897,-44.609901,0.16,0.0002502
168000,-65.561708,-55.23833,-33.588507,0.17,0.0002496
170000,-50.281189,-55.889205,-88.679282,0.14,0.000249
172000,-88.624181,-57.929253,-40.773534,0.24,0.0002484
174000,-45.362823,-57.731676,-12.325533,0.13,0.0002478
176000,-32.950797,-55.623659,-57.309785,0.1,0.0002472
178000,-41.813726,-54.470333,-15.220664,0.12,0.0002466
180000,-70.622015,-54.524797,-143.865823,0.2,0.000246
182000,-95.666874,-56.912626,-89.772739,0.26,0.0002454
184000,-42.458859,-56.737888,-23.187455,0.12,0.0002448
186000,-65.3978,-55.783574,-86.701037,0.17,0.0002442
188000,-69.644084,-56.043859,-60.968856,0.2,0.0002436
190000,-93.193505,-57.32749,-26.116275,0.25,0.000243
192000,-34.359933,-57.419343,-14.798472,0.1,0.0002424
194000,-87.196942,-60.380551,-24.472284,0.24,0.0002418
196000,-79.703007,-62.12218,-6.640935,0.22,0.0002412
