timestep,return,return_avg,return_tr,nMAE,lr
2000,-1447.964704,-1447.964704,-1362.493405,0.52,0.00043912
4000,-1085.6173,-1266.791002,-814.183466,0.52,0.00043824
6000,-1309.713347,-1281.098451,-1120.215723,1.34,0.00043736
8000,-1104.702051,-1236.999351,-644.949838,0.79,0.00043648
10000,-1401.785184,-1269.956517,-984.296759,1.84,0.0004356
12000,-1213.784162,-1260.594458,-1225.027522,0.46,0.00043472
14000,-1172.821167,-1248.055416,-1165.104323,0.42,0.00043384
16000,-1257.98195,-1249.296233,-1305.178449,0.47,0.00043296
18000,-966.38652,-1217.861821,-1186.167224,0.42,0.00043208
20000,-1485.594884,-1244.635127,-1354.703628,3.25,0.0004312
22000,-1153.833801,-1236.380461,-1645.428042,0.39,0.00043032
24000,-806.510005,-1200.557923,-1175.651176,0.27,0.00042944
26000,-1082.016341,-1191.43934,-949.541632,0.39,0.00042856
28000,-1345.450474,-1202.440135,-520.265635,0.62,0.00042768
30000,-604.055232,-1162.547808,-489.758567,0.19,0.0004268
32000,-265.869327,-1106.505403,-415.342121,0.08,0.00042592
34000,-277.004595,-1057.711238,-373.236541,0.08,0.00042504
36000,-340.354335,-1017.858077,-261.592297,0.1,0.00042416
38000,-369.051599,-983.710367,-241.568199,0.11,0.00042328
40000,-306.767096,-949.863204,-257.606101,0.09,0.0004224
42000,-340.979202,-894.513929,-357.475398,0.1,0.00042152
44000,-280.341237,-854.250125,-260.495882,0.08,0.00042064
46000,-383.443774,-807.936647,-255.18112,0.11,0.00041976
48000,-246.128499,-765.007969,-324.265537,0.08,0.00041888
50000,-630.401607,-726.43879,-286.160502,0.16,0.000418
52000,-534.224365,-692.460801,-238.105908,0.16,0.00041712
54000,-275.751438,-647.607314,-254.070396,0.08,0.00041624
56000,-376.764988,-603.546466,-331.210844,0.11,0.00041536
58000,-302.6033,-570.357305,-270.925837,0.09,0.00041448
60000,-346.930458,-513.424084,-245.299556,0.1,0.0004136
62000,-357.853082,-473.625048,-278.156016,0.11,0.00041272
64000,-303.914069,-448.495251,-285.167956,0.09,0.00041184
66000,-327.484856,-410.768677,-286.750731,0.09,0.00041096
68000,-311.519675,-359.072137,-285.936986,0.09,0.00041008
70000,-244.412895,-341.09002,-209.925192,0.08,0.0004092
72000,-303.284185,-342.960763,-186.302381,0.1,0.00040832
74000,-235.523494,-340.886708,-246.30392,0.07,0.00040744
76000,-337.937712,-340.765877,-259.657558,0.09,0.00040656
78000,-245.434809,-334.585037,-176.252286,0.07,0.00040568
80000,-275.570867,-333.025226,-235.119006,0.08,0.0004048
82000,-297.537356,-330.853133,-272.935825,0.09,0.00040392
84000,-262.183649,-329.945254,-251.410954,0.08,0.00040304
86000,-226.531552,-322.099643,-175.883036,0.07,0.00040216
88000,-255.447116,-322.565574,-217.61687,0.07,0.00040128
90000,-246.76546,-303.383766,-165.848941,0.07,0.0004004
92000,-236.259939,-288.485545,-239.80441,0.07,0.00039952
94000,-248.586486,-287.127297,-243.699801,0.07,0.00039864
96000,-245.275166,-280.552806,-231.383574,0.07,0.00039776
98000,-280.204466,-279.432865,-236.87779,0.09,0.00039688
100000,-286.94885,-276.433784,-246.925696,0.09,0.000396
102000,-294.910154,-273.286638,-291.735813,0.09,0.00039512
104000,-243.706075,-270.276238,-351.740239,0.08,0.00039424
106000,-236.476165,-265.725804,-249.98095,0.07,0.00039336
108000,-355.279856,-267.913813,-151.439803,0.12,0.00039248
110000,-357.360682,-273.561202,-287.52106,0.11,0.0003916
112000,-260.808818,-271.437434,-197.77091,0.08,0.00039072
114000,-214.251151,-270.373816,-285.251581,0.07,0.00038984
116000,-273.779251,-267.165893,-213.627086,0.08,0.00038896
118000,-260.177421,-267.903024,-204.890473,0.08,0.00038808
120000,-211.67323,-264.708142,-206.618976,0.07,0.0003872
122000,-306.969962,-265.179772,-471.720039,0.09,0.00038632
124000,-273.371918,-265.739186,-209.876534,0.09,0.00038544
126000,-269.927076,-267.908962,-185.789168,0.08,0.00038456
128000,-285.138746,-269.393544,-269.098553,0.08,0.00038368
130000,-217.439202,-267.927231,-136.358558,0.07,0.0003828
132000,-386.446162,-275.436542,-195.451829,0.11,0.00038192
134000,-232.002943,-274.607365,-181.329697,0.07,0.00038104
136000,-219.191406,-273.303177,-225.830792,0.07,0.00038016
138000,-255.384067,-272.062157,-154.451652,0.08,0.00037928
140000,-222.08911,-268.81917,-184.608567,0.07,0.0003784
142000,-225.885924,-265.367958,-228.630547,0.07,0.00037752
144000,-231.181133,-264.741711,-202.652633,0.07,0.00037664
146000,-246.605728,-265.248189,-166.414718,0.08,0.00037576
148000,-313.56602,-263.162497,-190.60566,0.1,0.00037488
150000,-255.49604,-258.069265,-286.811166,0.08,0.000374
152000,-243.264599,-257.192054,-222.212928,0.08,0.00037312
154000,-218.683003,-257.413647,-213.029045,0.06,0.00037224
156000,-250.94709,-256.272039,-259.955134,0.08,0.00037136
158000,-184.694274,-252.497882,-223.743987,0.06,0.00037048
160000,-284.940263,-256.161233,-166.407655,0.09,0.0003696
162000,-247.733859,-253.199428,-211.087337,0.07,0.00036872
164000,-258.862577,-252.473961,-243.008511,0.08,0.00036784
166000,-263.972895,-252.176252,-231.212587,0.08,0.00036696
168000,-283.3876,-252.088695,-187.154401,0.08,0.00036608
170000,-1570.64742,-319.749106,-187.312386,9.32,0.0003652
172000,-1589.479621,-379.900779,-201.924042,9.93,0.00036432
174000,-227.97327,-379.699295,-177.610831,0.07,0.00036344
176000,-1069.791482,-422.229299,-204.796611,0.64,0.00036256
178000,-249.759691,-421.94808,-206.010239,0.08,0.00036168
180000,-426.434255,-432.165337,-150.473266,0.14,0.0003608
182000,-242.146681,-432.978375,-156.060337,0.07,0.00035992
184000,-251.128058,-433.975721,-200.420768,0.08,0.00035904
186000,-312.789396,-437.284905,-196.61206,0.1,0.00035816
188000,-268.010933,-435.00715,-214.548869,0.08,0.00035728
190000,-255.279502,-434.996323,-160.625737,0.08,0.0003564
192000,-264.898212,-436.078004,-162.449752,0.08,0.00035552
194000,-246.534601,-437.470584,-198.840894,0.08,0.00035464
196000,-279.715506,-438.909005,-229.442609,0.09,0.00035376
198000,-297.903501,-444.569466,-217.669934,0.09,0.00035288
200000,-256.719674,-443.158437,-253.757082,0.08,0.000352
202000,-256.579454,-443.600716,-174.24967,0.08,0.00035112
204000,-261.253129,-443.720244,-205.487154,0.08,0.00035024
206000,-284.877972,-444.765498,-262.508013,0.09,0.00034936
208000,-232.492978,-442.220767,-166.411691,0.07,0.00034848
210000,-317.503162,-379.563554,-232.72728,0.09,0.0003476
212000,-532.186324,-326.698889,-243.135355,0.18,0.00034672
214000,-240.804908,-327.340471,-183.005113,0.07,0.00034584
216000,-271.683402,-287.435067,-127.455677,0.08,0.00034496
218000,-309.247002,-290.409432,-281.15458,0.1,0.00034408
220000,-375.212246,-287.848332,-256.76578,0.11,0.0003432
222000,-282.942454,-289.888121,-251.711611,0.09,0.00034232
224000,-269.13349,-290.788392,-198.974532,0.08,0.00034144
226000,-323.936821,-291.345764,-254.146149,0.1,0.00034056
