timestep,return,return_avg,return_tr,nMAE,lr
2000,-933.568506,-933.568506,-928.343077,0.29,0.00043912
4000,-778.220677,-855.894592,-714.80227,0.22,0.00043824
6000,-1214.605085,-975.464756,-1178.452195,1.1,0.00043736
8000,-1100.156531,-1006.6377,-1159.88317,0.86,0.00043648
10000,-1449.489106,-1095.207981,-1074.199986,2.98,0.0004356
12000,-1497.256916,-1162.216137,-1489.940343,1.4,0.00043472
14000,-1336.497917,-1187.113534,-794.382332,0.72,0.00043384
16000,-1332.806739,-1205.325185,-1368.525924,1.19,0.00043296
18000,-1418.295589,-1228.988563,-1385.441437,1.3,0.00043208
20000,-1792.476913,-1285.337398,-1355.891462,5.63,0.0004312
22000,-1427.609309,-1298.271208,-1485.610818,0.51,0.00043032
24000,-800.159007,-1256.761858,-787.435784,0.24,0.00042944
26000,,-1256.761858,-697.709865,,0.00042856
28000,-488.628858,-1197.674704,-612.783866,0.13,0.00042768
30000,-500.895618,-1147.904769,-446.92352,0.17,0.0004268
32000,-519.800928,-1106.03118,-325.164656,0.14,0.00042592
34000,-406.568446,-1062.314759,-222.144502,0.13,0.00042504
36000,-364.922926,-1021.29171,-269.035647,0.12,0.00042416
38000,-393.804176,-986.431291,-367.2307,0.12,0.00042328
40000,-300.807319,-950.345819,-348.131574,0.09,0.0004224
42000,-328.655658,-919.261311,-244.184602,0.1,0.00042152
44000,-482.154929,-896.690632,-367.637732,0.14,0.00042064
46000,-286.116185,-872.085408,-324.490177,0.09,0.00041976
48000,-322.005352,-827.455421,-240.167647,0.09,0.00041888
50000,-394.779991,-792.186594,-329.911511,0.1,0.000418
52000,-322.920061,-735.858142,-230.380928,0.08,0.00041712
54000,-252.676633,-673.629128,-237.119925,0.08,0.00041624
56000,-242.119917,-618.910228,-275.211107,0.07,0.00041536
58000,-338.483116,-569.194047,-216.081345,0.1,0.00041448
60000,-283.257252,-512.44213,-338.8174,0.08,0.0004136
62000,-229.035725,-434.27007,-231.553719,0.07,0.00041272
64000,-1250.455642,-425.412387,-400.567523,3.09,0.00041184
66000,-261.644158,-398.486645,-256.040063,0.08,0.00041096
68000,-385.093618,-393.309883,-197.990998,0.11,0.00041008
70000,-361.990652,-386.364634,-247.812402,0.1,0.0004092
72000,-254.586953,-373.103935,-216.290538,0.08,0.00040832
74000,-307.10838,-368.130932,-216.898438,0.1,0.00040744
76000,-352.201551,-367.494863,-203.168524,0.1,0.00040656
78000,-256.1824,-360.613775,-264.394706,0.07,0.00040568
80000,-301.526992,-360.649758,-211.072534,0.09,0.0004048
82000,-391.485279,-363.791239,-183.541252,0.1,0.00040392
84000,-299.409793,-354.653982,-232.490037,0.09,0.00040304
86000,-305.837337,-355.64004,-210.280574,0.1,0.00040216
88000,-212.503674,-350.164956,-194.507493,0.07,0.00040128
90000,-297.018044,-345.276859,-217.690892,0.09,0.0004004
92000,-259.734781,-342.117595,-251.797801,0.08,0.00039952
94000,-233.312168,-341.149371,-290.24383,0.07,0.00039864
96000,-283.008632,-343.193807,-236.099881,0.08,0.00039776
98000,-295.539823,-341.046643,-273.193554,0.09,0.00039688
100000,-236.048672,-338.686214,-270.341791,0.07,0.000396
102000,-364.829101,-345.475882,-260.822457,0.1,0.00039512
104000,-299.235227,-297.914862,-223.971052,0.08,0.00039424
106000,-298.759461,-299.770627,-220.864127,0.1,0.00039336
108000,-299.142228,-295.473057,-151.49592,0.08,0.00039248
110000,-429.965419,-298.871796,-189.794462,0.14,0.0003916
112000,-257.428854,-299.013891,-235.905886,0.08,0.00039072
114000,-221.394475,-294.728196,-230.409214,0.07,0.00038984
116000,-228.535504,-288.544893,-129.082648,0.07,0.00038896
118000,-227.675471,-287.119547,-192.717843,0.07,0.00038808
120000,-206.041206,-282.345257,-150.495927,0.06,0.0003872
122000,-262.051497,-275.873568,-159.671996,0.07,0.00038632
124000,-212.399221,-271.52304,-189.310102,0.06,0.00038544
126000,-240.647891,-268.263567,-163.466213,0.07,0.00038456
128000,-275.685001,-271.422634,-190.955858,0.08,0.00038368
130000,-264.228714,-269.783167,-260.798105,0.08,0.0003828
132000,-294.050943,-271.498975,-215.75578,0.09,0.00038192
134000,-263.932175,-273.029976,-250.048875,0.07,0.00038104
136000,-273.865804,-272.572834,-147.367039,0.08,0.00038016
138000,-301.991206,-272.895403,-163.097411,0.09,0.00037928
140000,-201.503259,-271.168133,-260.266212,0.06,0.0003784
142000,-292.158556,-267.534605,-266.902257,0.09,0.00037752
144000,-238.724839,-264.509086,-223.394624,0.07,0.00037664
146000,-266.903664,-262.916296,-160.309851,0.07,0.00037576
148000,-214.675853,-258.692978,-221.57451,0.06,0.00037488
150000,-236.988676,-249.04414,-138.944162,0.07,0.000374
152000,-237.772855,-248.06134,-203.279586,0.07,0.00037312
154000,-246.19782,-249.301508,-196.493202,0.08,0.00037224
156000,-235.54043,-249.651754,-223.654877,0.07,0.00037136
158000,-275.407686,-252.038365,-146.728784,0.09,0.00037048
160000,-314.198824,-257.446246,-201.02287,0.1,0.0003696
162000,-907.122565,-289.699799,-344.41895,0.33,0.00036872
164000,-196.674493,-288.913563,-339.762548,0.06,0.00036784
166000,-250.224743,-289.392405,-198.813633,0.08,0.00036696
168000,-240.219948,-287.619153,-200.898908,0.07,0.00036608
170000,-300.898968,-289.452665,-149.313615,0.09,0.0003652
172000,-244.960695,-286.998153,-189.724728,0.07,0.00036432
174000,-221.033668,-284.853228,-233.27484,0.07,0.00036344
176000,-258.209761,-284.070425,-235.408296,0.07,0.00036256
178000,-244.363194,-281.189025,-252.314477,0.07,0.00036168
180000,-189.050972,-280.566411,-148.177626,0.06,0.0003608
182000,-205.246793,-276.220822,-187.581374,0.06,0.00035992
184000,-255.246604,-277.046911,-193.178925,0.08,0.00035904
186000,-391.25683,-283.264569,-219.867062,0.11,0.00035816
188000,-237.828326,-284.422193,-161.668741,0.07,0.00035728
190000,-282.533931,-286.699455,-150.654059,0.08,0.0003564
192000,-223.666337,-285.994129,-189.98262,0.07,0.00035552
194000,-212.231458,-284.295811,-182.484246,0.07,0.00035464
196000,-224.093795,-283.72348,-226.604908,0.07,0.00035376
198000,-278.193712,-283.862781,-136.981696,0.08,0.00035288
200000,-232.183008,-279.76199,-176.981244,0.07,0.000352
202000,-209.226249,-244.867174,-224.86555,0.06,0.00035112
204000,-226.978518,-246.382376,-265.764001,0.07,0.00035024
206000,-194.527994,-243.597538,-130.291026,0.06,0.00034936
208000,-291.683619,-246.170722,-129.498042,0.08,0.00034848
210000,-266.527332,-244.45214,-208.876179,0.08,0.0003476
212000,-259.257737,-245.166992,-215.855474,0.08,0.00034672
214000,-265.428041,-247.386711,-235.688479,0.09,0.00034584
216000,-280.63385,-248.507915,-230.203115,0.09,0.00034496
218000,-310.395976,-251.809554,-187.811491,0.09,0.00034408
220000,-226.439159,-253.678964,-199.699634,0.07,0.0003432
222000,-282.573799,-257.545314,-241.723336,0.09,0.00034232
224000,-260.558106,-257.810889,-246.246743,0.08,0.00034144
226000,-234.951044,-249.9956,-129.394098,0.07,0.00034056
228000,-265.629561,-251.385661,-192.031515,0.08,0.00033968
230000,-235.381065,-249.028018,-154.390407,0.07,0.0003388
232000,-275.963531,-251.642878,-156.660938,0.09,0.00033792
234000,-274.211533,-254.741882,-154.033021,0.08,0.00033704
236000,-236.14407,-255.344395,-187.305395,0.07,0.00033616
238000,-280.792964,-255.474358,-187.832315,0.09,0.00033528
240000,-213.410784,-254.535747,-150.29934,0.07,0.0003344
242000,-293.395957,-258.744232,-168.886814,0.08,0.00033352
244000,-268.44688,-260.81765,-168.922322,0.08,0.00033264
246000,-437.956749,-272.989088,-239.665849,0.16,0.00033176
248000,-260.200045,-271.414909,-225.469696,0.08,0.00033088
250000,-214.568917,-268.816988,-117.202033,0.07,0.00033
252000,-251.884533,-268.448328,-216.666131,0.07,0.00032912
254000,-231.936444,-266.773748,-169.427772,0.07,0.00032824
256000,-238.48133,-264.666122,-238.111837,0.07,0.00032736
258000,-252.30134,-261.761391,-197.441876,0.08,0.00032648
260000,-257.248265,-263.301846,-300.620921,0.07,0.0003256
262000,-232.693088,-260.80781,-144.929787,0.07,0.00032472
264000,-245.308726,-260.045341,-149.930738,0.08,0.00032384
266000,-262.280314,-261.411805,-150.396625,0.08,0.00032296
268000,-239.756246,-260.118139,-178.813325,0.07,0.00032208
270000,-236.259296,-260.162051,-187.001273,0.07,0.0003212
272000,-262.693305,-259.498539,-251.592039,0.08,0.00032032
274000,-392.404019,-265.408164,-165.570597,0.11,0.00031944
276000,-254.120341,-266.306977,-289.838766,0.08,0.00031856
278000,-222.443467,-263.389502,-194.595985,0.07,0.00031768
280000,-213.284467,-263.383187,-187.359656,0.06,0.0003168
