timestep,return,return_avg,return_tr,nMAE,lr
2000,-1100.315034,-1100.315034,-1364.35239,0.43,0.00043912
4000,-751.9773,-926.146167,-838.489237,0.22,0.00043824
6000,-1223.480004,-1025.257446,-1159.220864,0.67,0.00043736
8000,-994.534307,-1017.576661,-860.693076,0.41,0.00043648
10000,-914.347218,-996.930773,-1096.742197,0.36,0.0004356
12000,-1327.627697,-1052.046927,-985.746685,0.75,0.00043472
14000,-944.771073,-1036.721805,-1261.817683,0.45,0.00043384
16000,-1352.227135,-1076.159971,-1147.451667,1.53,0.00043296
18000,-1138.737504,-1083.11303,-1316.112081,0.74,0.00043208
20000,-1380.554988,-1112.857226,-1475.812008,0.75,0.0004312
22000,-1681.461526,-1164.548526,-1526.087793,4.36,0.00043032
24000,-1846.6247,-1221.388207,-1620.36315,5.51,0.00042944
26000,-1766.517315,-1263.321216,-1425.313274,1.89,0.00042856
28000,-429.422686,-1203.757035,-666.561577,0.12,0.00042768
30000,-472.595188,-1155.012912,-360.74568,0.13,0.0004268
32000,-308.111922,-1102.0816,-244.450383,0.09,0.00042592
34000,-308.752863,-1055.415204,-308.383897,0.1,0.00042504
36000,-412.659834,-1019.706572,-261.619171,0.12,0.00042416
38000,-498.859252,-992.293555,-286.507619,0.16,0.00042328
40000,-524.152063,-968.88648,-291.557495,0.17,0.0004224
42000,-451.088492,-936.425153,-360.495204,0.13,0.00042152
44000,-316.567773,-914.654677,-313.925648,0.08,0.00042064
46000,-340.214453,-870.491399,-285.795423,0.11,0.00041976
48000,-266.065277,-834.067948,-319.177082,0.09,0.00041888
50000,-250.146875,-800.857931,-319.431355,0.08,0.000418
52000,-463.802074,-757.66665,-246.511146,0.13,0.00041712
54000,-373.837713,-729.119982,-382.090428,0.11,0.00041624
56000,-344.210506,-678.71915,-361.11379,0.1,0.00041536
58000,-1457.298217,-694.647186,-187.306738,4.78,0.00041448
60000,-271.437094,-639.191291,-318.898151,0.08,0.0004136
62000,-671.379949,-588.687212,-296.463404,0.24,0.00041272
64000,-315.037028,-512.107829,-313.0026,0.09,0.00041184
66000,-276.0599,-437.584958,-213.071682,0.09,0.00041096
68000,-235.641305,-427.895889,-162.219874,0.08,0.00041008
70000,-313.241489,-419.928204,-208.254873,0.1,0.0004092
72000,-303.875484,-419.716382,-199.752849,0.1,0.00040832
74000,-256.004396,-417.078959,-187.610161,0.08,0.00040744
76000,-258.576904,-409.374812,-203.155086,0.08,0.00040656
