timestep,time,return,return_avg
5999,32.919162,-4075.92433,-4075.92433
11999,58.519492,-4645.345687,-4360.635009
17999,83.51875,-4737.573678,-4486.281232
23999,108.291683,-4772.196725,-4557.760105
29999,132.71168,-4803.540079,-4606.9161
35999,156.993164,-4772.603488,-4634.530665
41999,181.617634,-4746.161785,-4650.477968
47999,206.464958,-4723.979852,-4659.665703
53999,231.643378,-2067.818309,-4371.682659
59999,257.440716,-630.818697,-3997.596263
65999,282.763955,-107.989433,-3643.995642
71999,308.023108,-65.301511,-3345.771131
77999,333.033093,-62.316635,-3093.197709
83999,357.828326,-64.003115,-2876.826666
89999,382.746177,-551.044316,-2721.77451
95999,407.843954,-4015.234374,-2802.615751
101999,432.501082,-524.526405,-2668.610495
107999,457.326855,-906.877339,-2570.736431
113999,482.772498,-437.409238,-2458.456053
119999,507.689412,-254.776689,-2348.272084
125999,532.473315,-180.895983,-2153.520667
131999,558.410483,-51.043413,-1923.805553
137999,583.277687,-140.27355,-1693.940547
143999,608.046391,-261.604426,-1468.410932
149999,632.830719,-205.304579,-1238.499157
155999,657.756272,-152.670368,-1007.502501
161999,683.244472,-175.634987,-778.976161
167999,708.106059,-112.262565,-548.390297
173999,733.027064,-99.081991,-449.953481
179999,758.026739,-57.852454,-421.305169
185999,782.874042,-46.827551,-418.247075
191999,807.721799,-45.620187,-417.263008
197999,832.711331,-45.441055,-416.419229
203999,858.354768,-40.766942,-415.257421
209999,884.697693,-28.297253,-389.120067
215999,910.374909,-34.889342,-190.102816
221999,935.738098,-25.544007,-165.153696
227999,960.742796,-23.625155,-120.991087
233999,985.820924,-27.433411,-100.492295
239999,1010.606397,-29.231976,-89.21506
245999,1035.497992,-34.13672,-81.877097
251999,1060.357917,-22.911764,-80.470514
257999,1085.303554,-17.907486,-74.352211
263999,1110.512169,-27.124465,-62.628213
269999,1135.505077,-25.295547,-53.627761
275999,1160.418463,-22.268845,-47.107685
281999,1185.27777,-19.474111,-39.299641
287999,1210.234691,-15.904653,-34.481746
293999,1235.49762,-16.094879,-30.33239
299999,1260.730473,-14.423346,-28.160935
305999,1286.010527,-13.90569,-26.514842
311999,1311.237189,-13.957422,-24.931703
317999,1336.251657,-13.336021,-23.326452
323999,1361.258566,-9.214413,-21.748825
329999,1386.255228,-12.034666,-20.935696
335999,1411.159776,-6.930527,-19.537755
341999,1436.199252,-5.745267,-18.547818
347999,1461.410431,-2.812296,-17.507175
353999,1486.83337,-2.350316,-16.25302
359999,1511.832206,-2.316168,-14.90723
365999,1536.916433,-2.452787,-13.323033
371999,1561.782827,-2.882113,-12.321551
377999,1586.674046,-3.95735,-11.624044
383999,1611.640288,-2.534034,-10.394523
389999,1636.811843,-2.334449,-9.246468
395999,1662.168684,-2.5361,-8.25983
401999,1687.727726,-2.614828,-7.416866
407999,1712.743148,-2.81122,-6.762195
413999,1737.857865,-3.247674,-6.119834
419999,1762.810878,-2.156861,-5.50651
425999,1788.009244,-1.884648,-4.905458
431999,1813.161416,-1.764324,-4.295803
437999,1838.930536,-2.003683,-3.729186
443999,1864.225527,-2.531797,-3.395055
449999,1889.294643,-2.507679,-2.918706
455999,1914.350296,-2.338155,-2.689087
461999,1939.270412,-2.32776,-2.518212
467999,1964.237239,-2.275822,-2.491388
473999,1989.194971,-2.805148,-2.51413
479999,2014.249533,-2.909954,-2.543819
485999,2039.404769,-2.134272,-2.527893
491999,2064.238442,-2.450888,-2.506332
497999,2089.146461,-1.841116,-2.40052
